lon,lat,type,loctype,address,north,south,east,west,locality,administrative_area_level_2,administrative_area_level_1,country,administrative_area_level_3
-122.2711137,37.8043637,locality,approximate,"oakland, ca, usa",37.88472489999999,37.6322259,-122.114775,-122.355881,Oakland,Alameda County,California,United States,NA
-97.5164276,35.4675602,locality,approximate,"oklahoma city, ok, usa",35.674752,35.2905439,-97.12472,-97.83367489999999,Oklahoma City,Oklahoma County,Oklahoma,United States,NA
-95.9345034,41.2565369,locality,approximate,"omaha, ne, usa",41.39317,41.1905479,-95.871141,-96.2913561,Omaha,Douglas County,Nebraska,United States,Chicago
-81.3792365,28.5383355,locality,approximate,"orlando, fl, usa",28.6143519,28.3479859,-81.22977,-81.50773,Orlando,Orange County,Florida,United States,NA
-75.1652215,39.9525839,locality,approximate,"philadelphia, pa, usa",40.1379919,39.8670041,-74.9557629,-75.280303,Philadelphia,Philadelphia County,Pennsylvania,United States,NA
-112.0740373,33.4483771,locality,approximate,"phoenix, az, usa",33.92057,33.29025980000001,-111.926046,-112.324056,Phoenix,Maricopa County,Arizona,United States,NA
-79.9958864,40.44062479999999,locality,approximate,"pittsburgh, pa, usa",40.501368,40.3613689,-79.8657231,-80.0952779,Pittsburgh,Allegheny County,Pennsylvania,United States,NA
-122.6587185,45.5122308,locality,approximate,"portland, or, usa",45.65288049999999,45.4325358,-122.472024,-122.8367493,Portland,Multnomah County,Oregon,United States,NA
-78.6381787,35.7795897,locality,approximate,"raleigh, nc, usa",35.97172800000001,35.7158079,-78.471063,-78.8190489,Raleigh,Wake County,North Carolina,United States,NA
-121.4943996,38.5815719,locality,approximate,"sacramento, ca, usa",38.685507,38.437574,-121.325705,-121.56012,Sacramento,Sacramento County,California,United States,NA
-111.8910474,40.7607793,locality,approximate,"salt lake city, ut, usa",40.8529699,40.700246,-111.7394581,-112.101512,Salt Lake City,Salt Lake County,Utah,United States,NA
-98.49362819999999,29.4241219,locality,approximate,"san antonio, tx, usa",29.73872,29.2241411,-98.22295799999999,-98.8058509,San Antonio,Bexar County,Texas,United States,NA
-117.1610838,32.715738,locality,approximate,"san diego, ca, usa",33.114249,32.534856,-116.90816,-117.3097969,San Diego,San Diego County,California,United States,NA
-122.4194155,37.7749295,locality,approximate,"san francisco, ca, usa",37.812,37.70339999999999,-122.3482,-122.527,San Francisco,San Francisco County,California,United States,NA
-121.8863286,37.3382082,locality,approximate,"san jose, ca, usa",37.4695381,37.124493,-121.589154,-122.0456719,San Jose,Santa Clara County,California,United States,NA
-122.3320708,47.6062095,locality,approximate,"seattle, wa, usa",47.734145,47.4919119,-122.2244331,-122.4596959,Seattle,King County,Washington,United States,NA
-90.19940419999999,38.6270025,locality,approximate,"st. louis, mo, usa",38.774349,38.5318519,-90.166409,-90.320515,St. Louis,NA,Missouri,United States,NA
-82.4571776,27.950575,locality,approximate,"tampa, fl, usa",28.1714781,27.817487,-82.2597409,-82.64882,Tampa,Hillsborough County,Florida,United States,NA
-110.9747108,32.2226066,locality,approximate,"tucson, az, usa",32.32016610000001,31.9916539,-110.708204,-111.059406,Tucson,Pima County,Arizona,United States,NA
-95.99277500000001,36.1539816,locality,approximate,"tulsa, ok, usa",36.336506,35.968097,-95.6815429,-96.074478,Tulsa,Tulsa County,Oklahoma,United States,NA
-75.97798499999999,36.8529263,locality,approximate,"virginia beach, va, usa",37.040886,36.5504529,-75.7974969,-76.2277601,Virginia Beach,NA,Virginia,United States,NA
-77.0368707,38.9071923,locality,approximate,"washington, dc, usa",38.995548,38.7916449,-76.909393,-77.119759,Washington,District of Columbia,District of Columbia,United States,NA
-97.33005299999999,37.68717609999999,locality,approximate,"wichita, ks, usa",37.8401999,37.489018,-97.153025,-97.7343619,Wichita,Sedgwick County,Kansas,United States,NA
-85.7584557,38.2526647,locality,approximate,"louisville, ky, usa",38.38051,37.9971,-85.40509999999999,-85.948441,Louisville,Jefferson County,Kentucky,United States,NA
