department_name,year,total_pop,violent_per_100k,homs_per_100k,rape_per_100k,rob_per_100k,agg_ass_per_100k,lon,lat
"San Jose, CA",1977,568303,469.819796833731,7.214461299694,56.6599155732065,181.417307316696,224.528112644135,-121.8863286,37.3382082
"Seattle, WA",1977,500000,831.2,7,74,352.8,397.4,-122.3320708,47.6062095
"St. Louis, MO",1977,512059,1899.39049992286,38.0815491964793,92.3721680509473,965.318449631781,803.618333043653,-90.19940419999999,38.6270025
"Tucson, AZ",1977,306500,514.845024469821,11.4192495921697,37.8466557911909,179.445350734095,286.133768352365,-110.9747108,32.2226066
"Tulsa, OK",1977,352674,524.563761434072,7.93934341629947,48.770252414411,138.654961806087,329.199203797275,-95.99277500000001,36.1539816
"Virginia Beach, VA",1977,235324,196.750012748381,6.79913650966327,33.9956825483164,64.5917968418011,91.3633968486002,-75.97798499999999,36.8529263
"Washington, DC",1977,690000,1426.52173913043,27.8260869565217,58.2608695652174,964.492753623188,375.942028985507,-77.0368707,38.9071923
"Wichita, KS",1977,261732,533.75208228264,12.990387113536,46.2304953158192,273.180199593477,201.351000259808,-97.33005299999999,37.68717609999999
"Albuquerque, NM",1978,291834,834.035787468218,12.6784404832884,64.077523523647,237.806424200059,519.473399261224,-106.650422,35.0843859
"Atlanta, GA",1978,456000,1939.69298245614,31.5789473684211,129.824561403509,903.289473684211,875,-84.3879824,33.7489954
"Austin, TX",1978,331557,426.171065608628,10.5562542790531,58.5118094324656,191.520613348534,165.582388548575,-97.7430608,30.267153
"Boston, MA",1978,616225,1628.46362935616,11.6840439774433,77.0822345734107,914.438719623514,625.258631181792,-71.0588801,42.3600825
"Buffalo, NY",1978,391695,812.111464277052,11.2332299365578,56.4214503631652,439.372470927635,305.084313049694,-78.8783689,42.88644679999999
"Charlotte, NC",1978,309101,787.768399325787,16.499461341115,36.8811488801395,229.374864526482,505.012924578051,-80.8431267,35.2270869
"Chicago, IL",1978,3086699,896.945247981744,25.4964931792831,43.444469318194,493.504549682363,334.499735801904,-87.6297982,41.8781136
"Columbus, OH",1978,578338,579.764774232369,11.5849209285919,53.4289636855956,332.504521577348,182.246368040834,-82.99879419999999,39.9611755
"Dallas, TX",1978,871832,1133.70465869571,26.381229411171,94.2842198955762,439.878325181916,573.160884207049,-96.79698789999999,32.7766642
"Denver, CO",1978,485547,1004.4341742406,19.9774687105471,118.835045834904,486.461660766105,379.159998929043,-104.990251,39.7392358
